timestep,buyer,seller,price,quantity
580,MomBot1,MomBot2,65864.170000,1
581,MomBot2,BotB,65868.170000,1
584,MomBot2,MomBot1,65794.170000,1
588,MomBot1,MomBot1,65861.930000,1
589,MomBot2,MomBot1,65868.930000,1
591,MomBot1,RSIBot1,65964.120000,1
596,BotB,MomBot2,65953.410000,1
597,BotC,BotC,65957.410000,1
600,MomBot1,MomBot2,65980.690000,1
608,MomBot2,BotB,66565.590000,1
610,MomBot1,BotC,66565.590000,1
621,MomBot2,RSIBot1,66439.360000,1
623,MomBot1,MomBot1,66361.560000,1
625,MomBot2,MomBot1,66447.690000,1
626,BotC,RSIBot1,66447.690000,1
631,MomBot2,MomBot1,66148.360000,1
632,MomBot1,MomBot2,66148.360000,1
633,MomBot2,MomBot1,66325.480000,1
634,BotB,MomBot2,66325.480000,1
642,MomBot1,MomBot2,66375.600000,1
644,MomBot1,MomBot1,66377.060000,1
645,MomBot2,MomBot2,66377.060000,1
648,MomBot1,BotC,66379.600000,1
649,MomBot2,BotB,66451.690000,1
650,MomBot1,BotC,66451.690000,1
651,MomBot2,MomBot2,66497.010000,1
652,MomBot1,RSIBot1,66581.880000,1
653,MomBot2,BotB,66585.880000,1
654,MomBot1,BotC,66585.880000,1
655,MomBot2,RSIBot1,66596.310000,1
656,MomBot1,RSIBot1,66750.740000,1
657,MomBot2,BotC,66754.740000,1
659,MomBot1,BotC,66903.060000,1
665,MomBot2,MomBot1,66509.030000,1
666,MomBot1,BotC,66513.030000,1
668,MomBot2,MomBot1,66292.700000,1
669,MomBot2,MomBot2,66292.700000,1
675,MomBot1,MomBot1,66387.270000,1
680,BotB,MomBot2,66359.040000,1
681,MomBot1,MomBot1,66087.330000,1
682,MomBot2,MomBot2,66087.330000,1
684,BotB,MomBot1,66193.650000,1
685,BotB,MomBot2,66193.650000,1
687,MomBot2,MomBot1,66123.220000,1
688,MomBot1,MomBot2,66123.220000,1
690,BotB,MomBot1,65954.140000,1
691,BotC,MomBot2,65954.140000,1
693,BotC,MomBot1,65761.800000,1
694,MomBot1,MomBot2,65761.800000,1
695,MomBot2,BotB,65765.800000,1
697,BotB,MomBot1,65830.260000,1
698,BotC,MomBot2,65830.260000,1
699,BotB,BotC,65834.260000,1
701,MomBot2,MomBot2,65648.850000,1
703,MomBot2,MomBot1,65746.490000,1
704,MomBot1,MomBot2,65746.490000,1
705,MomBot2,BotB,65750.490000,1
708,MomBot1,MomBot1,65498.870000,1
709,MomBot2,MomBot2,65498.870000,1
711,BotC,MomBot1,65489.100000,1
712,RSIBot1,MomBot2,65489.100000,1
713,MomBot1,BotC,65493.100000,1
715,BotB,MomBot1,65348.350000,1
716,MomBot2,MomBot2,65348.350000,1
717,RSIBot1,BotC,65352.350000,1
720,MomBot2,MomBot1,65358.430000,1
721,MomBot2,MomBot2,65358.430000,1
724,MomBot2,MomBot1,65395.180000,1
725,BotB,MomBot2,65395.180000,1
726,BotC,BotC,65399.180000,1
729,MomBot1,MomBot2,65575.560000,1
730,BotB,MomBot2,65727.640000,1
735,MomBot1,MomBot1,65530.380000,1
737,MomBot2,MomBot1,65319.800000,1
739,MomBot2,MomBot1,65171.670000,1
740,MomBot2,BotC,65175.670000,1
743,RSIBot1,MomBot1,65196.510000,1
744,RSIBot1,MomBot2,65196.510000,1
746,BotB,MomBot1,65463.870000,1
747,MomBot2,MomBot2,65463.870000,1
749,MomBot1,MomBot2,65475.600000,1
751,MomBot2,MomBot2,65475.370000,1
752,RSIBot1,BotC,65479.370000,1
754,MomBot1,MomBot2,65354.170000,1
756,MomBot2,MomBot1,65556.550000,1
763,MomBot1,MomBot1,65292.100000,1
766,MomBot2,MomBot1,65313.500000,1
767,BotC,MomBot1,65523.360000,1
768,MomBot2,MomBot2,65523.360000,1
770,MomBot2,MomBot2,65552.880000,1
773,MomBot1,MomBot2,65390.160000,1
774,MomBot2,BotC,65394.160000,1
776,BotB,MomBot1,65153.100000,1
777,RSIBot1,MomBot2,65153.100000,1
778,MomBot1,MomBot1,64943.000000,1
779,RSIBot1,MomBot2,64943.000000,1
781,MomBot1,MomBot1,64924.020000,1
782,MomBot2,MomBot2,64924.020000,1
784,RSIBot1,MomBot1,64981.360000,1
785,MomBot1,MomBot2,64981.360000,1
786,RSIBot1,MomBot1,65099.520000,1
787,MomBot2,MomBot2,65099.520000,1
790,MomBot1,MomBot2,65062.260000,1
792,MomBot1,MomBot2,65225.910000,1
795,MomBot2,MomBot2,65454.870000,1
802,RSIBot1,MomBot1,64924.750000,1
805,MomBot2,MomBot1,65184.160000,1
807,MomBot2,MomBot1,65284.050000,1
808,MomBot2,BotC,65288.050000,1
810,RSIBot1,MomBot2,65158.590000,1
812,RSIBot1,MomBot2,64968.640000,1
813,MomBot2,MomBot1,65098.620000,1
814,BotC,MomBot2,65098.620000,1
815,MomBot2,BotB,65102.620000,1
816,RSIBot1,MomBot1,65125.700000,1
817,MomBot2,MomBot2,65125.700000,1
818,MomBot1,MomBot2,65037.530000,1
820,MomBot1,MomBot1,65011.840000,1
821,BotB,MomBot2,65011.840000,1
822,MomBot1,BotC,65015.840000,1
823,BotC,MomBot1,64774.700000,1
824,RSIBot1,MomBot2,64774.700000,1
825,RSIBot1,BotC,64778.700000,1
826,RSIBot1,MomBot1,64872.070000,1
827,BotB,MomBot2,64872.070000,1
828,MomBot1,MomBot1,64833.430000,1
829,BotB,MomBot2,64833.430000,1
830,MomBot1,MomBot1,64816.070000,1
831,RSIBot1,MomBot2,64816.070000,1
832,BotB,BotB,64820.070000,1
833,BotC,BotC,64820.070000,1
836,RSIBot1,MomBot1,64700.850000,1
837,BotC,MomBot2,64700.850000,1
838,MomBot1,MomBot1,64400.510000,1
839,RSIBot1,MomBot2,64400.510000,1
841,RSIBot1,MomBot2,64484.080000,1
843,BotC,MomBot1,64612.990000,1
844,MomBot2,MomBot2,64612.990000,1
845,MomBot2,BotC,64616.990000,1
848,BotB,MomBot2,64770.450000,1
850,MomBot2,MomBot2,64749.100000,1
851,BotB,BotC,64753.100000,1
854,BotC,MomBot2,64585.190000,1
856,MomBot2,MomBot1,64460.070000,1
857,RSIBot1,MomBot2,64460.070000,1
863,RSIBot1,BotC,64648.260000,1
868,MomBot1,MomBot1,64994.120000,1
876,BotC,RSIBot1,65205.540000,1
882,RSIBot1,MomBot1,64675.210000,1
883,MomBot1,BotB,64679.210000,1
884,MomBot2,BotC,64679.210000,1
886,BotB,MomBot1,64860.330000,1
888,MomBot1,MomBot1,64687.840000,1
889,MomBot2,MomBot2,64687.840000,1
890,BotB,MomBot2,64853.090000,1
892,BotC,MomBot2,64873.540000,1
895,BotB,MomBot2,64752.850000,1
896,BotC,MomBot1,64610.110000,1
897,MomBot2,MomBot2,64610.110000,1
898,BotC,MomBot1,64543.800000,1
899,MomBot2,MomBot2,64543.800000,1
900,MomBot1,BotC,64547.800000,1
901,BotC,MomBot1,64644.580000,1
902,MomBot1,MomBot2,64644.580000,1
903,BotC,BotB,64648.580000,1
905,MomBot1,MomBot2,64806.790000,1
907,MomBot2,MomBot2,64449.790000,1
909,MomBot1,MomBot1,64409.090000,1
910,MomBot2,MomBot2,64409.090000,1
911,BotB,MomBot1,64227.740000,1
912,MomBot1,MomBot2,64227.740000,1
913,MomBot2,BotB,64231.740000,1
914,BotB,MomBot1,64457.280000,1
915,BotB,MomBot2,64457.280000,1
917,MomBot2,MomBot2,64694.780000,1
920,BotB,MomBot2,64768.690000,1
922,MomBot1,MomBot2,64637.590000,1
928,MomBot2,BotB,64680.620000,1
930,MomBot2,MomBot1,64379.590000,1
932,BotC,MomBot1,64421.750000,1
933,BotC,BotC,64425.750000,1
934,MomBot1,MomBot1,64388.250000,1
935,MomBot2,MomBot2,64388.250000,1
937,MomBot1,MomBot1,64280.410000,1
938,MomBot1,MomBot2,64280.410000,1
941,MomBot2,MomBot2,64665.750000,1
944,MomBot2,MomBot2,64832.710000,1
957,MomBot1,MomBot1,64882.300000,1
958,MomBot2,BotC,64886.300000,1
959,MomBot1,BotC,65043.420000,1
973,MomBot2,MomBot1,64898.260000,1
977,MomBot1,MomBot1,64768.800000,1
978,MomBot2,BotC,64772.800000,1
979,MomBot2,MomBot1,64860.650000,1
980,BotB,MomBot2,64860.650000,1
981,MomBot1,MomBot1,64671.830000,1
982,MomBot2,MomBot2,64671.830000,1
983,BotC,MomBot2,64986.610000,1
984,MomBot1,MomBot2,64727.200000,1
985,MomBot2,MomBot2,64774.810000,1
988,MomBot1,MomBot1,64674.090000,1
989,MomBot2,MomBot2,64674.090000,1
990,MomBot2,MomBot1,64806.470000,1
991,BotB,MomBot2,64806.470000,1
993,BotC,MomBot2,64737.540000,1
994,MomBot2,BotB,64741.540000,1
995,MomBot2,MomBot1,64519.420000,1
996,MomBot2,MomBot2,64519.420000,1
998,MomBot1,MomBot1,64566.690000,1
999,BotC,MomBot2,64566.690000,1
1001,MomBot1,MomBot1,64653.420000,1
1002,MomBot2,MomBot2,64653.420000,1
1005,BotC,MomBot2,64693.710000,1
1007,MomBot1,MomBot2,64511.380000,1
1009,MomBot1,MomBot1,64321.170000,1
1010,MomBot2,MomBot2,64321.170000,1
1011,MomBot1,MomBot1,64662.740000,1
1012,MomBot2,MomBot2,64662.740000,1
1013,BotB,BotC,64666.740000,1
1015,BotB,MomBot2,64614.870000,1
1017,BotC,MomBot2,64496.100000,1
1018,MomBot1,BotB,64500.100000,1
1019,MomBot1,MomBot2,64504.540000,1
1021,BotB,MomBot1,64495.850000,1
1022,MomBot1,MomBot1,64337.310000,1
1023,MomBot2,MomBot2,64337.310000,1
1024,BotB,MomBot1,64378.980000,1
1025,BotC,MomBot2,64378.980000,1
1026,MomBot1,MomBot1,64446.530000,1
1027,MomBot1,MomBot2,64446.530000,1
1028,BotB,BotB,64450.530000,1
1029,BotB,MomBot1,64148.880000,1
1030,MomBot1,MomBot2,64148.880000,1
1031,MomBot2,MomBot2,64197.660000,1
1032,MomBot2,MomBot2,64580.640000,1
1033,BotC,MomBot2,64217.770000,1
1034,MomBot1,MomBot1,63971.920000,1
1035,MomBot2,MomBot2,63971.920000,1
1036,BotB,MomBot1,63719.280000,1
1037,BotC,MomBot2,63719.280000,1
1038,BotB,BotB,63723.280000,1
1040,MomBot1,MomBot2,63702.220000,1
1043,BotC,MomBot1,63726.970000,1
1044,BotB,MomBot2,63726.970000,1
1046,MomBot1,MomBot1,63523.890000,1
1047,MomBot2,MomBot2,63523.890000,1
1050,MomBot1,MomBot1,63482.150000,1
1051,MomBot1,MomBot2,63482.150000,1
1052,RSIBot1,BotC,63486.150000,1
1055,MomBot1,MomBot1,63280.790000,1
1056,BotC,MomBot2,63280.790000,1
1058,BotC,MomBot1,63289.740000,1
1059,MomBot1,MomBot2,63289.740000,1
1061,MomBot1,MomBot1,63352.890000,1
1062,MomBot2,MomBot2,63352.890000,1
1064,RSIBot1,MomBot2,63571.310000,1
1066,RSIBot1,MomBot2,63391.430000,1
1068,MomBot1,MomBot2,63600.650000,1
1069,MomBot2,BotC,63604.650000,1
1077,BotC,MomBot1,63445.210000,1
1078,BotC,BotC,63449.210000,1
1080,MomBot2,MomBot1,63193.560000,1
1083,MomBot1,MomBot1,63250.130000,1
1084,BotB,MomBot2,63250.130000,1
1086,BotC,MomBot2,63561.350000,1
1088,MomBot1,MomBot2,63358.460000,1
1089,MomBot2,MomBot1,63118.160000,1
1090,RSIBot1,MomBot2,63118.160000,1
1091,BotC,MomBot1,63500.290000,1
1092,RSIBot1,MomBot2,63500.290000,1
1095,MomBot1,MomBot1,63385.140000,1
1097,MomBot1,MomBot2,63197.790000,1
1098,MomBot1,MomBot1,63160.560000,1
1099,RSIBot1,MomBot2,63160.560000,1
1100,RSIBot1,BotC,63164.560000,1
1101,BotB,MomBot1,62867.940000,1
1102,MomBot1,MomBot2,62867.940000,1
1104,MomBot2,MomBot1,62824.910000,1
1105,BotC,MomBot2,62824.910000,1
1106,MomBot2,MomBot2,62703.430000,1
1108,BotB,MomBot1,62723.850000,1
1109,MomBot1,MomBot2,62723.850000,1
1110,MomBot2,MomBot2,62919.050000,1
1111,BotC,MomBot2,62945.360000,1
1113,MomBot1,MomBot2,62797.250000,1
1114,RSIBot1,BotB,62801.250000,1
1115,MomBot2,MomBot2,62973.150000,1
1123,RSIBot1,BotC,63083.360000,1
1131,RSIBot1,MomBot1,62789.040000,1
1132,BotC,BotB,62793.040000,1
1134,BotC,MomBot1,62875.350000,1
1135,MomBot1,MomBot1,62802.040000,1
1136,MomBot2,MomBot2,62802.040000,1
1137,MomBot1,MomBot1,62600.650000,1
1138,MomBot2,MomBot2,62600.650000,1
1139,MomBot1,BotC,62604.650000,1
1140,MomBot2,MomBot2,62821.980000,1
1143,MomBot1,MomBot2,62959.780000,1
1147,MomBot1,MomBot2,63140.110000,1
1153,MomBot1,BotC,63491.530000,1
1159,MomBot2,BotC,63490.720000,1
1167,MomBot1,MomBot1,63511.370000,1
1169,MomBot2,MomBot1,63663.870000,1
1171,MomBot1,BotB,63667.870000,1
1174,MomBot1,RSIBot1,63766.520000,1
1177,MomBot1,RSIBot1,63818.700000,1
1183,MomBot2,RSIBot1,63869.490000,1
1184,MomBot2,RSIBot1,63976.720000,1
1186,MomBot1,RSIBot1,64197.070000,1
1198,MomBot2,MomBot1,64090.330000,1
1202,BotC,MomBot1,63920.580000,1
1203,MomBot1,MomBot1,63885.920000,1
1204,MomBot2,MomBot2,63885.920000,1
